,Area,location,Price,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
102,550,Kharghar,55,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
103,650,Kharghar,42,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
104,646,Kharghar,42,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
105,740,Kharghar,60,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
106,570,Kharghar,50,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
107,670,Kharghar,55,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1
108,640,Kharghar,43,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
109,1700,Kharghar,155,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1
110,1550,Kharghar,114,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0
111,1530,Kharghar,120,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
112,1750,Kharghar,160,3,0,0,1,1,1,1,0,0,1,0,0,1,0,0
113,1590,Kharghar,220,3,0,1,1,1,1,1,1,1,1,0,1,0,1,1
114,1415,Kharghar,110,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
115,1650,Kharghar,166,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1
116,1687,Kharghar,140,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
117,1150,Kharghar,85,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1
118,555,Kharghar,60,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
119,600,Kharghar,49,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
120,646,Kharghar,42,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
121,650,Kharghar,45,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
122,640,Kharghar,43,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1
123,650,Kharghar,55,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0
124,1400,Kharghar,135,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1
125,1780,Kharghar,150,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
126,1687,Kharghar,140,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1
127,1100,Kharghar,69,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0
128,1050,Kharghar,83,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
129,1160,Kharghar,90,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
130,700,Kharghar,51,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0
131,625,Kharghar,52,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1
132,670,Kharghar,55,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1
133,550,Kharghar,55,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
134,650,Kharghar,54,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
135,660,Kharghar,53,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
136,550,Kharghar,55,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
137,570,Kharghar,50,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
138,1550,Kharghar,140,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
139,1760,Kharghar,171,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
140,1475,Kharghar,118,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
141,759,Kharghar,60,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
142,600,Kharghar,49,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
143,550,Kharghar,45,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
144,620,Kharghar,41,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1
145,550,Kharghar,50,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
146,745,Kharghar,55,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0
147,580,Kharghar,45,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
148,670,Kharghar,53,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
149,1845,Kharghar,190,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
150,1400,Kharghar,135,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
151,1680,Kharghar,136,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
152,1645,Kharghar,155,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1
153,1585,Kharghar,165,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
154,1350,Kharghar,86,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0
155,1075,Kharghar,100,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
156,1155,Kharghar,105,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
157,625,Kharghar,47,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
158,720,Kharghar,62,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
159,550,Kharghar,45,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
160,735,Kharghar,69,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
161,580,Kharghar,45,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
162,1505,Kharghar,100,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
163,1630,Kharghar,130,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0
164,1550,Kharghar,110,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0
165,1455,Sector 18 Kharghar,130,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
166,1098,Kharghar,105,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
167,1210,Sector 15 Kharghar,130,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0
168,1000,Kharghar,95,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1
169,550,Kharghar,45,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
170,1630,Kharghar,130,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
171,1680,Kharghar,136,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
172,1650,Kharghar,162,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
173,1440,Kharghar,150,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
174,1370,Kharghar,132,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
175,1022,Sector 18 Kharghar,75,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
176,1000,Kharghar,95,2,0,1,1,1,1,1,0,1,0,0,0,0,1,1
177,1760,Kharghar,150,3,0,1,1,1,0,1,1,1,0,0,0,0,1,1
178,1100,Kharghar,75,2,0,0,1,1,1,1,0,0,1,0,0,0,1,1
179,1550,Sector 20 Kharghar,130,3,0,1,1,1,1,1,1,1,1,0,0,0,0,1
180,1675,Kharghar,162,3,1,1,1,1,1,1,1,1,0,1,1,0,1,1
181,1060,Kharghar,110,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
182,1150,Kharghar,116,2,0,1,1,1,0,1,1,1,0,1,1,0,1,1
183,670,Kharghar,56,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1
184,900,Kharghar,80,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
185,1088,Kharghar,95,2,0,1,1,1,1,1,1,0,1,1,0,0,1,0
186,375,Dombivali,20,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
187,1200,Churchgate,650,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
188,1717,Prabhadevi,450,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0
189,750,Jogeshwari West,165,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
190,525,Kalyan East,24,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1
191,1200,Malad East,195,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
192,420,Virar East,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193,540,Virar East,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,415,Virar East,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
195,650,Virar,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
196,1100,Malad West,220,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
197,1105,Borivali East,170,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
198,2600,Malad East,435,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
199,700,Mira Road East,48,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
200,1296,Goregaon West,181,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
201,1638,Goregaon West,238,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
202,1465,Goregaon West,212,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
203,700,Borivali East,86,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
204,2030,Goregaon West,365,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
205,1450,Malad West,237,3,1,1,1,1,0,1,1,1,0,1,0,0,1,1
206,1100,Malad West,214,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
207,800,Kandivali West,125,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
208,1500,Kandivali West,180,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
209,1100,Kandivali West,132,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
210,1962,Kandivali West,353,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
211,950,Borivali East,153,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
212,1440,Kandivali West,250,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
213,1200,Kandivali West,139,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
214,1785,Borivali West,335,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
215,775,Goregaon West,145,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
216,765,Kandivali West,90,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
217,910,Goregaon West,135,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
218,640,Goregaon West,90,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
219,1264,Malad East,216,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
220,1056,Kandivali West,137,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
221,1810,Kandivali East,278,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
222,1656,Goregaon West,279,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
223,3888,Goregaon West,816,4,0,1,1,1,1,1,1,1,1,1,1,0,1,1
224,2030,Borivali West,386,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
225,1114,Andheri East,170,3,1,1,1,1,0,0,1,1,1,1,0,0,1,1
226,3585,Goregaon West,601,4,1,1,1,1,1,1,0,1,1,1,1,0,1,1
227,1404,Goregaon East,279,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
228,1620,Goregaon East,315,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
229,2780,Malad East,375,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1
230,1672,Malad East,310,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
231,1200,Malad East,211,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
232,1200,Malad East,165,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
233,1250,Borivali East,160,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
234,1840,Borivali East,260,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
235,1170,Malad West,152,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
236,310,Kharghar,23,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
237,1245,Wadala,330,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1
238,1153,Wadala,290,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1
239,573,Ulwe,112,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1
240,1100,Ulwe,90,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
241,1135,Ulwe,85,2,0,1,1,1,0,1,1,1,1,0,1,0,1,1
242,1060,Kharghar,90,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1
243,560,Malad West,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,1150,Dahisar,121,2,1,1,1,1,0,1,1,0,1,0,0,0,1,1
245,1054,kandivali,110,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1
246,1695,Goregaon,270,3,1,1,1,1,0,1,1,1,1,0,1,0,1,1
247,1579,Goregaon,216,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1
248,2153,Goregaon,302,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
249,1872,Goregaon,412,4,1,1,1,1,0,1,1,1,1,1,0,0,1,1
250,1717,Goregaon,305,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1
251,1675,Goregaon East,367,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1
252,1672,Malad East,238,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
253,1457,Malad East,205,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1
254,425,Bhandup West,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,560,thakur village kandivali east,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,1200,Santacruz West,325,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,575,Kanjurmarg,85,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1
258,400,Borivali East,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,300,Kandivali East,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260,400,I C Colony,55,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
261,650,Dahisar W,80,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
262,1600,Malad East,275,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
263,860,Marol,115,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1
264,1320,Parel,359,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1
265,1200,Lower Parel,420,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1
266,1320,Parel,331,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1
267,2826,Worli,1060,3,0,0,1,1,0,1,0,0,0,1,0,0,0,1
268,2880,Lower Parel,1014,3,0,0,1,1,0,0,0,0,0,1,0,0,0,1
269,997,Jogeshwari East,325,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0
270,1038,Jogeshwari East,185,2,1,1,1,0,0,0,1,1,1,1,0,0,0,1
271,600,Malad West,110,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
272,400,Chembur Shell Colony,92,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
273,2800,Central Avenue,501,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0
274,1400,Chembur East,330,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0
275,1500,Diamond Market Road,341,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
276,1412,Mulund,218,3,0,1,1,1,0,0,0,1,1,1,1,1,0,0
277,1412,Mulund,212,3,0,1,1,1,0,0,0,1,1,1,1,1,0,0
278,545,Nalasopara West,30,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
279,585,raheja vihar,110,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
280,1000,raheja vihar,179,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
281,1050,Powai Lake,195,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
282,1014,MHADA Colony 20,195,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0
283,900,Goregaon East,160,2,0,0,1,1,1,1,1,0,1,0,0,0,0,0
284,600,Tolaram Colony,115,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
285,700,Tolaram Colony,105,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
286,1550,Taloja,64,3,0,1,1,1,0,0,0,0,1,0,0,0,0,1
287,5245,Thane West,900,5,1,1,1,1,0,0,1,1,1,1,1,1,1,1
288,529,Vangani,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
289,530,Sector 20 Kharghar,36,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
290,1260,Sector 5 Ulwe,92,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
291,1260,Sector12 New Panvel,90,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
292,1150,Sector 17 Ulwe,92,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
293,690,Sector 17 Ulwe,53,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
294,1240,Sector9 Kamothe,155,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
295,1260,Sector 19 Kharghar,95,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
296,1240,Sector 5 Ulwe,90,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
297,1265,Navi Basti,101,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
298,1260,Sector12 Kamothe,108,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
299,1255,Sector 21 Kamothe,110,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
300,1055,Sector 19 Kharghar,72,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
301,1060,Sector 5 Ulwe,70,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
302,1238,Navi Basti,127,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
303,1150,Sector12 Kamothe,85,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
304,1165,Sector12 Kamothe,85,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
305,1080,Sector9 Kamothe,77,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
306,1470,Sector12 Kamothe,110,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
307,610,Sector9 Kamothe,60,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
308,1180,Sector12 Kamothe,92,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
309,1735,Sector9 Kamothe,150,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
310,1230,Sector 17 Ulwe,110,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
311,599,Sector 17 Ulwe,45,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
312,980,Sector9 Kamothe,88,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
313,1654,Sector9 Kamothe,165,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
314,1665,Sector 17 Ulwe,168,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
315,1640,Sector 17 Ulwe,163,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
316,1650,Sector 17 Ulwe,155,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0
